timestamp,day_of_week,hour_of_day,active_occupancy_pct,queue_length,station_power_draw_kw,grid_tariff_usd,is_peak_hour
2026-08-31 06:00:00,0,6,12.5,0,37.5,0.12,0
2026-08-31 07:00:00,0,7,37.5,1,112.5,0.12,0
2026-08-31 08:00:00,0,8,75.0,3,225.0,0.22,0
2026-08-31 09:00:00,0,9,87.5,4,262.5,0.22,0
2026-08-31 10:00:00,0,10,75.0,2,225.0,0.22,0
2026-08-31 11:00:00,0,11,62.5,1,187.5,0.22,0
2026-08-31 12:00:00,0,12,50.0,0,150.0,0.22,0
2026-08-31 13:00:00,0,13,50.0,0,150.0,0.22,0
2026-08-31 14:00:00,0,14,62.5,1,187.5,0.22,0
2026-08-31 15:00:00,0,15,75.0,2,225.0,0.22,0
2026-08-31 16:00:00,0,16,87.5,3,262.5,0.48,1
2026-08-31 17:00:00,0,17,100.0,6,295.0,0.48,1
2026-08-31 18:00:00,0,18,100.0,7,298.0,0.48,1
2026-08-31 19:00:00,0,19,87.5,4,260.0,0.48,1
2026-08-31 20:00:00,0,20,62.5,2,185.0,0.22,0
