session_id,arrival_timestamp,departure_timestamp,connection_time_hours,kwh_delivered,user_requested_kwh,arrival_soc,departure_soc,battery_temp_avg_c,degradation_cost_usd
SESS_0001,2026-08-01 08:14:00,2026-08-01 09:12:00,0.97,42.5,45.0,22,80,31.2,2.45
SESS_0002,2026-08-01 08:30:00,2026-08-01 09:00:00,0.50,28.0,30.0,35,80,33.0,1.80
SESS_0003,2026-08-01 09:10:00,2026-08-01 10:45:00,1.58,55.2,60.0,15,90,36.5,4.10
SESS_0004,2026-08-01 10:05:00,2026-08-01 11:20:00,1.25,38.4,40.0,40,85,32.0,2.15
SESS_0005,2026-08-01 11:15:00,2026-08-01 12:00:00,0.75,22.0,25.0,50,80,29.5,1.20
SESS_0006,2026-08-01 12:40:00,2026-08-01 13:55:00,1.25,48.0,50.0,18,82,34.0,3.30
SESS_0007,2026-08-01 14:10:00,2026-08-01 15:30:00,1.33,52.1,55.0,20,85,35.2,3.75
SESS_0008,2026-08-01 16:20:00,2026-08-01 17:40:00,1.33,61.0,65.0,12,88,38.1,5.20
SESS_0009,2026-08-01 17:15:00,2026-08-01 18:10:00,0.92,34.2,35.0,38,80,31.8,2.05
SESS_0010,2026-08-01 18:00:00,2026-08-01 19:30:00,1.50,68.4,70.0,10,95,41.2,7.80
