"connection_time","disconnect_time","done_charging_time","kwh_delivered","session_id","site_id","charger_id","station_id","connection_time_hours","charging_duration_hours"
"01-01-2020 09:42","02-01-2020 02:25","01-01-2020 14:42","32.02","2_39_131_30_2020-01-01 09:42:14.259248","2","CA-305","2-39-131-30","16.72","5"
"01-01-2020 18:10","01-01-2020 21:05","01-01-2020 19:22","2.328","2_39_127_19_2020-01-01 18:10:34.057445","2","CA-309","2-39-127-19","2.92","1.2"
"01-01-2020 19:44","02-01-2020 01:23","01-01-2020 22:43","19.868","2_39_79_377_2020-01-01 19:44:51.127414","2","CA-325","2-39-79-377","5.65","2.98"
"02-01-2020 01:12","02-01-2020 04:38","02-01-2020 03:11","8.336","2_39_126_20_2020-01-02 01:12:28.778216","2","CA-310","2-39-126-20","3.43","1.98"
"02-01-2020 04:18","03-01-2020 00:06","02-01-2020 06:41","14.731","2_39_79_382_2020-01-02 04:18:06.407434","2","CA-491","2-39-79-382","19.8","2.38"
"02-01-2020 16:05","03-01-2020 00:11","02-01-2020 16:39","2.083","2_39_79_380_2020-01-02 16:05:14.818106","2","CA-489","2-39-79-380","8.1","0.57"
"02-01-2020 16:06","02-01-2020 17:04","02-01-2020 16:37","0.855","2_39_79_383_2020-01-02 16:06:34.210024","2","CA-492","2-39-79-383","0.97","0.52"
"02-01-2020 16:31","03-01-2020 00:29","03-01-2020 00:29","50.788","2_39_78_366_2020-01-02 16:31:34.854057","2","CA-323","2-39-78-366","7.97","7.97"
"02-01-2020 17:25","03-01-2020 02:14","02-01-2020 19:23","4.187","2_39_138_29_2020-01-02 17:25:52.764723","2","CA-304","2-39-138-29","8.82","1.97"
"02-01-2020 17:45","03-01-2020 00:51","02-01-2020 19:55","6.874","2_39_78_367_2020-01-02 17:45:12.995970","2","CA-494","2-39-78-367","7.1","2.17"
"02-01-2020 17:46","02-01-2020 21:02","02-01-2020 19:49","6.501","2_39_78_365_2020-01-02 17:46:14.843193","2","CA-321","2-39-78-365","3.27","2.05"
"02-01-2020 17:47","02-01-2020 20:42","02-01-2020 20:42","20.165","2_39_139_28_2020-01-02 17:47:52.598587","2","CA-303","2-39-139-28","2.92","2.92"
"02-01-2020 18:07","02-01-2020 20:46","02-01-2020 19:32","4.32","2_39_123_23_2020-01-02 18:07:56.928051","2","CA-313","2-39-123-23","2.65","1.42"
"02-01-2020 18:25","03-01-2020 00:46","02-01-2020 20:41","5.191","2_39_79_381_2020-01-02 18:25:20.402594","2","CA-490","2-39-79-381","6.35","2.27"
"02-01-2020 18:40","02-01-2020 21:19","02-01-2020 21:18","8.379","2_39_90_440_2020-01-02 18:40:46.167914","2","CA-500","2-39-90-440","2.65","2.63"
"02-01-2020 18:51","02-01-2020 23:58","02-01-2020 20:00","3.399","2_39_89_25_2020-01-02 18:51:01.473182","2","CA-315","2-39-89-25","5.12","1.15"
"02-01-2020 21:28","02-01-2020 21:54","02-01-2020 21:49","0.956","2_39_123_23_2020-01-02 21:28:23.830730","2","CA-313","2-39-123-23","0.43","0.35"
"02-01-2020 22:17","03-01-2020 05:05","02-01-2020 23:12","2.35","2_39_78_363_2020-01-02 22:17:20.170082","2","CA-320","2-39-78-363","6.8","0.92"
"02-01-2020 22:23","03-01-2020 00:56","03-01-2020 00:56","17.075","2_39_139_28_2020-01-02 22:23:55.420890","2","CA-303","2-39-139-28","2.55","2.55"
"03-01-2020 00:03","03-01-2020 01:16","03-01-2020 00:33","0.913","2_39_89_25_2020-01-03 00:03:03.221895","2","CA-315","2-39-89-25","1.22","0.5"
"03-01-2020 02:50","03-01-2020 04:06","03-01-2020 04:05","8.768","2_39_139_28_2020-01-03 02:50:03.120616","2","CA-303","2-39-139-28","1.27","1.25"
"03-01-2020 16:14","04-01-2020 01:25","03-01-2020 19:00","10.325","2_39_78_366_2020-01-03 16:14:25.439593","2","CA-323","2-39-78-366","9.18","2.77"
"03-01-2020 16:19","03-01-2020 18:08","03-01-2020 18:09","0.84","2_39_79_380_2020-01-03 16:19:09.581564","2","CA-489","2-39-79-380","1.82","1.83"
"03-01-2020 16:37","04-01-2020 00:47","03-01-2020 18:05","4.426","2_39_89_25_2020-01-03 16:37:05.609840","2","CA-315","2-39-89-25","8.17","1.47"
"03-01-2020 17:14","04-01-2020 01:38","03-01-2020 17:43","0.807","2_39_79_379_2020-01-03 17:14:49.150327","2","CA-327","2-39-79-379","8.4","0.48"
"03-01-2020 17:40","03-01-2020 19:30","03-01-2020 19:30","12.489","2_39_139_28_2020-01-03 17:40:30.774361","2","CA-303","2-39-139-28","1.83","1.83"
"03-01-2020 17:48","03-01-2020 21:45","03-01-2020 21:46","0.914","2_39_79_377_2020-01-03 17:48:23.018957","2","CA-325","2-39-79-377","3.95","3.97"
"03-01-2020 17:50","04-01-2020 00:52","03-01-2020 19:07","4.008","2_39_123_23_2020-01-03 17:50:40.207600","2","CA-313","2-39-123-23","7.03","1.28"
"03-01-2020 18:08","03-01-2020 20:14","03-01-2020 18:38","0.812","2_39_79_380_2020-01-03 18:08:06.946951","2","CA-489","2-39-79-380","2.1","0.5"
"03-01-2020 18:23","03-01-2020 21:19","03-01-2020 19:36","3.713","2_39_92_442_2020-01-03 18:23:44.761404","2","CA-498","2-39-92-442","2.93","1.22"
